Idc, Category, Opportunity, Task, Contacted_Date, Activity, Complaints, Status,Number,Complaint_Status,Id,Idfc
"40","other","","geo2","2022-07-04 23:01:08","dfdsas","dssdsfd","Resolved","304","1","6","2"
"41","other","","geo1","2022-07-04 23:12:43","czxczxc","zxczczzc","In Progress","304","1","6","2"
"42","Credit issues","","geo2","2022-07-04 23:15:59","sadsada","test","Resolved","304","1","6","1"
"43","","","geo2","2022-07-04 23:22:31","xcvxvxc","Credit issues","Resolved","304","1","6","1"
"44","","","geo5","2022-07-04 23:23:13","","bad request","In Progress","306","1","5","1"
"45","","","geo1","2022-07-08 10:25:41","buying running shoes","Bad service","In Progress","324","1","20","1"
"46","","","geo5","2022-07-08 10:30:39","","very bad request","Resolved","03205818","1","2","1"
"47","","","geo4","2022-07-09 08:08:25","purchase panasonic pbx","Pricing issues","In Progress","324","1","20","1"
"48","","","geo5","2022-07-09 22:23:58","","Credit issues","In Progress","304","1","6","1"
"49","","","geo5","2022-07-09 22:24:21","","Pricing issues","In Progress","306","1","5","1"
"50","","","geo5","2022-07-10 01:45:16","","Damged items","In Progress","03205818","1","2","1"
"51","","","geo2","2022-07-10 02:15:05","","Bad service","Resolved","03205818","1","2","1"
"52","","","geo6","2022-07-10 09:39:07","buying kenefeh","Damged items","In Progress","306","1","5","1"
"53","","","geo5","2022-07-10 16:17:04","return items","Credit issues","In Progress","03205818","1","2","1"
"54","","","geo5","2022-07-11 08:12:25","last activity","Scanning issues","In Progress","81721326","1","1","1"
"55","","","geo4","2022-07-11 22:10:00","","Credit issues","In Progress","304","1","6","1"
"56","","","geo5","2022-07-11 23:37:51","last activity","Credit issues","In Progress","03205818","1","2","2"
"57","","","geo3","2022-07-12 08:20:28","last activity","Expired items","Not Resolved","312","1","22","2"
"58","","","geo2","2022-07-13 13:00:21","","Credit","Resolved","304","1","6","1"
"59","","","geo5","2022-07-13 13:25:53","","Credit issues","Resolved","306","1","5","1"
"60","","","geo1","2022-07-13 15:19:17","","Pricing","Resolved","304","1","6","1"
"61","","","geo5","2022-07-13 15:19:35","","Pricing","In Progress","306","1","5","1"
"62","","","geo2","2022-07-13 15:43:37","","Creditissues","Resolved","03205818","1","2","1"
"63","","","geo5","2022-07-13 15:43:55","","Creditissues","Resolved","304","1","6","1"
"64","","","geo4","2022-07-13 15:44:14","","Creditissues","In Progress","306","1","5","1"
"65","","","geo5","2022-07-13 18:55:27","","Credit issues","Not Resolved","81721326","1","1","1"
"66","","","geo2","2022-07-14 09:50:52","","Missing items","In Progress","304","1","6","2"
"67","","","geo2","2022-07-14 12:43:45","","Credit issues","In Progress","306","1","5","1"
"68","","","geo1","2022-07-14 15:50:42","","never trust a stranger","In Progress","306","1","5","1"
"69","","","geo3","2022-07-14 15:51:18","buy food","Good","Not Resolved","03205818","1","2","1"
"70","","","geo4","2022-07-14 15:58:05","","Bad","In Progress","81721326","1","1","1"
"71","","","geo2","2022-07-14 17:24:54","","Good quality","Resolved","03205818","1","2","1"
"72","","","geo3","2022-07-14 18:32:15","","Good quality","In Progress","306","1","5","1"
"73","","","geo4","2022-07-14 18:34:48","last activity","Excellent quality","In Progress","305","1","14","1"
"74","","","geo2","2022-07-15 09:25:48","","Expired items","In Progress","306","1","5","1"
"75","","","geo5","2022-07-15 10:30:17","","very bad quality","In Progress","03205818","1","2","1"
"76","","","geo2","2022-07-16 21:32:51","last activity","very bad quality","In Progress","312","1","22","1"
"77","","","geo5","2022-07-21 12:09:18","last activity","Damaged items","In Progress","313","1","23","1"
"78","","","geo5","2022-07-21 18:42:34","last activity","bad luck","In Progress","314","1","24","1"
"79","","","geo2","2022-07-21 18:47:59","","Wrong PLU","Resolved","70556648","1","7","1"
"80","","","geo2","2022-07-21 18:48:10","","Bad quality","Resolved","03205818","1","2","1"
"81","","","geo5","2022-07-22 08:37:22","last activity","very bad quality","Not Resolved","315","1","25","1"
"86","","","geo2","2022-07-22 16:50:47","csdcdc","Credit issues","Resolved","","1","25","1"
"87","","","geo2","2022-07-22 16:51:24","dscs","Pricing issues","Resolved","","1","25","1"
"88","","","geo4","2022-07-22 16:53:12","last activity","Expired items","Resolved","03205818","1","2","1"
"89","","","geo2","2022-07-23 10:36:49","","Credit issues","Resolved","70556648","1","7","1"
"90","","","geo2","2022-07-23 12:00:56","","Credit issues","In Progress","306","1","5","1"
